words	freq	n	p
撚	1784851	1	0.152087928
屌	1138030	1	0.09697203
仆街	582341	2	0.049621529
曱甴	547631	2	0.046663875
鳩	465039	1	0.039626175
黑警	462733	2	0.03942968
柒	375822	1	0.032023956
暴徒	375024	2	0.031955958
支那	323268	2	0.027545807
on9	277314	3	0.023630046
賤	261530	1	0.022285085
五毛	212192	2	0.018080972
收皮	162090	2	0.013811759
閪	160368	1	0.013665027
廢青	141964	2	0.012096814
犯民	124473	2	0.010606398
廢老	111863	2	0.009531895
無恥	96490	2	0.008221955
食屎	95985	2	0.008178924
黃屍	94745	2	0.008073263
弱智	93917	2	0.008002708
政棍	92950	2	0.00792031
左膠	86803	2	0.007396521
人渣	85151	2	0.007255754
戇	73633	1	0.0062743
藍屍	70683	2	0.006022929
5毛	66424	2	0.005660018
冚家	64209	2	0.005471277
黑暴	62839	2	0.005354538
警犬	62471	2	0.005323181
屎忽	55173	2	0.004701315
港豬	54985	2	0.004685296
老味	52636	2	0.004485136
廢柴	52165	2	0.004445002
走狗	51569	2	0.004394217
蝗蟲	51534	2	0.004391235
狗官	49888	2	0.004250978
黃人	49567	2	0.004223626
學雞	46909	2	0.003997136
尻	43655	1	0.003719861
popo	40879	4	0.003483317
契弟	39590	2	0.003373481
暴民	39374	2	0.003355076
春袋	38978	2	0.003321332
飯民	37209	2	0.003170595
共狗	35472	2	0.003022585
林奠	34245	2	0.002918031
黃狗	31190	2	0.002657713
共匪	31128	2	0.00265243
腦殘	30427	2	0.002592698
黑醫	30412	2	0.00259142
三毛	30271	2	0.002579405
DLLM	29475	4	0.002511578
妓者	28410	2	0.002420828
鄉黑	28109	2	0.00239518
痴瘋	27177	2	0.002315764
畜生	26557	2	0.002262933
黑記	26299	2	0.002240949
cls	25705	3	0.002190334
diu	25510	3	0.002173718
垃圾會	24864	3	0.002118672
狗仔	22491	2	0.001916468
乜春	22101	2	0.001883236
美狗	22049	2	0.001878805
強國人	21942	3	0.001869687
河童	21709	2	0.001849833
傻西	21664	2	0.001845999
何妖	20809	2	0.001773144
黃畜	19966	2	0.001701312
臭西	19076	2	0.001625474
雜種	18945	2	0.001614312
貪曾	18736	2	0.001596503
黑狗	18499	2	0.001576308
扑街	18115	2	0.001543587
毛狗	17709	2	0.001508992
燒山	17583	2	0.001498255
兒登	16430	2	0.001400007
菊花	15758	2	0.001342746
肛門	15308	2	0.001304401
淋病	15064	2	0.00128361
咸濕	14183	2	0.00120854
豬西	14180	2	0.001208284
