"txt_cleaned","incivility","DIC","doc"
"屯天元區選大勝希望淨係死牛屎佬同廢老",2,1,"屯 天元 區選 大勝 希望 淨係 死 牛屎佬 同 廢老"
"條長毛狗又講埋d咁嘅嘢，嚟蒙鳩人:fst_002:",3,1,"條 長毛狗 又 講埋 咁嘅嘢 嚟 蒙 鳩 人"
"屌而家係成個政府，國會同法院同平民都要開中共波反而係差商家佬",1,1,"屌 而家 係 成個 政府 國會 同 法院 同 平民 都要 開 中共 波反 而係 差 商家佬"
"桃尻天堂",1,1,"桃 尻 天堂"
"美國：嘩屌成班生番咪搞我",3,1,"美國 嘩 屌 成班 生番 咪搞我"
"上次賓賓送班專才返大6.:lol",0,0,"上次 賓賓 送班 專才 返 大6"
"pish 上去幫手",0,0,"上去 幫手"
"我屌到你老母你條女你個女成口成閪都係白膠醬呀",1,1,"我 屌到 你 老母 你 條女 你 個 女 成口成 閪 都係 白膠 醬 呀"
"時興隆老闆係咪體內流住濃厚紅色基因既大陸哩?",2,1,"時興 隆 老闆 係咪 體內 流住 濃厚 紅色 基因 既 大陸哩"
"人無恥便無敵。屌你老母",1,1,"人 無恥 便 無敵 屌你老母"
"你肯走同叫人走，今日就贏",0,0,"你 肯走 同 叫人 走 今日 就贏"
"覺小腸失禁吖:",0,0,"覺 小腸 失禁 吖"
"收皮啦屌你老母！就係多得呢你啲人唔少當人哋係乜嘢啊？condom啊？！咪撚柒再分化！",1,1,"收皮啦 屌你老母 就係 多得 呢 你啲人 唔少 當 人哋 係乜嘢 啊 啊 咪 撚 柒 再 分化"
"揀條重罪黎告再呃9你認罪輕判結果都係重罰屌你老母dojoke",1,1,"揀條 重罪 黎告 再 呃 你 認罪 輕判 結果 都係 重罰 屌你老母"
"樓主睇黎唔知放燃燒彈條友係佔中黃c撚黎 :",3,1,"樓主 睇黎 唔知 放 燃燒彈 條友 係 佔中 黃c 撚 黎"
"咪就係。。係咪黑警扮其實都唔難分辨有d的確係但有d又係真係前線",2,1,"咪 就係 係咪 黑警 扮 其實 都 唔難 分辨 有 的 確係 但有 又係 真係 前線"
"由呢件事睇得出佢地為自己唔會團結。",0,0,"由 呢件事 睇得出 佢地 為 自己 唔會 團結"
"大陸人用大陸手機",0,0,"大陸人 用 大陸 手機"
"推呀痴線",0,0,"推呀 痴線"
"我硬是覺得這個大叔有點怪怪的:smike_13:",0,0,"我 硬是 覺得 這個 大叔 有點 怪怪 的"
"郭文貴話五毛好駛好用好幫得手, 佢申請美國政治庇護咁快獲批, 五毛的舉證實在功不可沒, 同時証明中共有幾害怕佢爆料.反觀呢度得個小貓幾隻交行貨, 証明西環眼中戴先生冇乜料到.",2,1,"郭文貴 話 五毛 好駛 好 用好 幫 得手 佢 申請 美國 政治 庇護 咁快 獲批 五毛 的 舉證 實在 功不可沒 同時 証明 中共 有 幾 害怕 佢 爆料 反觀 呢度 得個 小貓 幾隻 交 行貨 証明 西環 眼中 戴 先生 冇乜 料到"
"咁都噏得出？真係仲無恥過屍歪。",2,1,"咁都 噏 得出 真係 仲 無恥過 屍歪"
"喜歡幻想，大話連編都是黑衣賤種特質",3,1,"喜歡 幻想 大話 連編 都是 黑衣 賤種 特質"
